index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,credit,Decile
10319,F,Y,Y,0,112500,Commercial associate,Higher education,Married,With parents,1,0,0,0,Accountants,2,2,7
10320,F,N,Y,0,288000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,1,9
10321,M,Y,Y,5,202500,Working,Secondary / secondary special,Married,Co-op apartment,1,0,0,0,Managers,7,0,9
10322,F,N,Y,0,58500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,5
10323,F,Y,Y,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,2,9
10324,M,N,Y,0,337500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,2,9
10325,M,Y,N,0,148500,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,unemployed,2,1,8
10326,F,N,Y,0,189000,Pensioner,Incomplete higher,Widow,House / apartment,1,0,0,0,unemployed,1,2,9
10327,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1,2,9
10328,F,N,N,0,171000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Private service staff,2,2,8
10329,M,Y,Y,0,180000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,unemployed,2,0,9
10330,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,Cleaning staff,2,2,8
10331,F,N,Y,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,1,0,9
10332,F,N,Y,1,675000,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,unemployed,3,2,9
10333,M,N,Y,3,202500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,5,2,9
10334,M,N,Y,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Security staff,2,2,7
10335,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,0,0,unemployed,1,2,8
10336,M,Y,N,0,270000,Working,Incomplete higher,Married,With parents,1,0,1,0,Laborers,2,2,9
10337,M,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,0,8
10338,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Laborers,1,2,8
10339,F,N,Y,0,180000,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Accountants,1,2,9
10340,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,2,7
10341,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,2,8
10342,M,Y,Y,0,315000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,1,9
10343,M,N,N,2,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,4,2,8
10344,F,Y,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,2,7
10345,F,N,N,0,126000,Pensioner,Higher education,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,8
10346,M,N,N,0,166500,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Sales staff,1,1,8
10347,M,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,9
10348,F,Y,Y,0,157500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,0,8
10349,M,Y,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,3,0,9
10350,F,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,7
10351,F,N,Y,0,234000,Commercial associate,Higher education,Married,House / apartment,1,0,1,1,unemployed,2,2,9
10352,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,9
10353,F,N,N,0,234000,State servant,Higher education,Civil marriage,House / apartment,1,0,0,1,Core staff,2,2,9
10354,F,N,N,0,180000,Working,Higher education,Single / not married,House / apartment,1,0,0,0,IT staff,1,2,9
10355,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,1,0,8
10356,M,Y,N,0,180000,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,2,2,9
10357,M,Y,Y,1,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,1,0,0,Drivers,3,2,8
10358,F,N,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,3,2,7
10359,F,N,Y,4,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,6,2,9
10360,F,Y,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Private service staff,2,0,8
10361,F,Y,Y,0,360000,State servant,Higher education,Separated,House / apartment,1,0,0,0,Core staff,1,1,9
10362,M,N,N,0,360000,Commercial associate,Higher education,Single / not married,House / apartment,1,1,1,1,Waiters/barmen staff,1,1,9
10363,M,Y,N,0,346500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,9
10364,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,1,9
10365,F,N,Y,0,315000,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,unemployed,2,2,9
10366,M,Y,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,1,2,8
10367,F,Y,Y,1,112500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,3,1,7
10368,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,0,9
10369,F,Y,Y,1,103500,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,1,Laborers,2,2,7
10370,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,7
10371,M,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,3,2,9
10372,F,N,Y,0,141750,Pensioner,Higher education,Married,House / apartment,1,0,1,0,unemployed,2,2,8
10373,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,unemployed,2,2,7
10374,M,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,7
10375,M,N,Y,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Laborers,1,2,7
10376,F,Y,N,0,315000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,Core staff,2,2,9
10377,F,N,Y,2,67500,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Sales staff,3,2,5
10378,M,Y,Y,0,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Laborers,2,1,9
10379,F,N,Y,0,171000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,1,8
10380,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,8
10381,F,Y,N,0,126000,State servant,Incomplete higher,Single / not married,House / apartment,1,1,0,0,Core staff,1,2,8
10382,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Core staff,1,1,8
10383,F,N,Y,0,144000,Working,Higher education,Single / not married,House / apartment,1,0,0,0,unemployed,1,1,8
10384,M,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,2,9
10385,M,Y,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,2,7
10386,M,N,Y,0,225000,Working,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,2,1,9
10387,F,N,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,2,9
10388,M,N,Y,0,207000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,2,9
10389,F,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2,1,9
10390,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,0,9
10391,F,N,N,0,94500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Waiters/barmen staff,2,1,7
10392,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,unemployed,2,2,7
10393,F,N,Y,2,135000,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Core staff,3,2,8
10394,M,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,2,8
10395,M,Y,Y,0,292500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Low-skill Laborers,2,2,9
10396,F,N,N,0,153000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Security staff,2,0,8
10397,F,Y,Y,2,180000,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,1,Sales staff,4,1,9
10398,F,Y,Y,0,270000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,1,9
10399,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
10400,F,Y,Y,0,540000,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,unemployed,2,2,9
10401,M,Y,N,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,9
10402,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
10403,M,Y,Y,0,405000,Working,Higher education,Married,House / apartment,1,1,1,1,Managers,2,1,9
10404,M,Y,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,2,9
10405,F,Y,Y,1,157500,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,2,8
10406,F,N,N,0,135000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,0,8
10407,F,N,Y,0,382500,Commercial associate,Incomplete higher,Married,Municipal apartment,1,0,0,0,Accountants,2,2,9
10408,M,Y,N,2,180000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Sales staff,4,2,9
10409,M,Y,Y,0,202500,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,1,9
10410,M,Y,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,1,9
10411,F,N,Y,0,157500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,2,8
10412,F,N,Y,1,67500,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Accountants,2,1,5
10413,M,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Drivers,2,2,7
10414,F,N,N,1,225000,State servant,Higher education,Civil marriage,House / apartment,1,0,1,0,Medicine staff,3,2,9
10415,F,N,Y,0,247500,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,1,Core staff,1,2,9
10416,M,N,N,0,225000,Working,Incomplete higher,Married,House / apartment,1,1,0,0,Drivers,2,2,9
10417,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,3,0,8
10418,M,Y,Y,0,225000,Working,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,1,Drivers,1,2,9
10419,F,N,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,3,0,7
10420,M,Y,N,1,135000,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,3,1,8
10421,F,Y,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,unemployed,4,0,9
10422,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,2,9
10423,M,N,N,0,540000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,1,9
10424,F,Y,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,2,9
10425,F,N,Y,0,67500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,2,5
10426,F,Y,Y,1,157500,Working,Higher education,Married,House / apartment,1,1,0,0,Sales staff,3,0,8
10427,F,N,N,0,58500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Security staff,2,2,5
10428,M,Y,Y,1,180000,Working,Higher education,Married,With parents,1,1,0,0,Laborers,3,2,9
10429,F,N,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,3,1,8
10430,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,2,1,7
10431,M,Y,Y,0,360000,Commercial associate,Higher education,Married,House / apartment,1,0,1,1,Laborers,2,2,9
10432,M,N,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,8
10433,F,Y,Y,1,157500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,0,8
10434,M,Y,Y,2,675000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Core staff,4,2,9
10435,M,Y,Y,0,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Managers,2,2,9
10436,M,N,N,0,279000,State servant,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,1,2,9
10437,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,1,1,1,Core staff,1,0,9
10438,M,N,N,3,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,5,2,9
10439,F,N,Y,0,202500,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Medicine staff,1,2,9
10440,F,N,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,1,1,Laborers,1,2,9
10441,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,8
10442,F,Y,N,2,162000,Commercial associate,Incomplete higher,Married,House / apartment,1,1,1,0,Core staff,4,2,8
10443,F,Y,Y,0,225000,Pensioner,Higher education,Married,House / apartment,1,0,1,0,unemployed,2,2,9
10444,F,N,N,0,126000,State servant,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Waiters/barmen staff,1,2,8
10445,F,N,N,0,157500,Commercial associate,Higher education,Separated,With parents,1,0,0,0,unemployed,1,1,8
10446,F,N,Y,0,270000,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,9
10447,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,9
10448,F,N,Y,0,270000,Pensioner,Higher education,Married,House / apartment,1,0,1,0,unemployed,2,2,9
10449,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,2,8
10450,M,Y,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,9
10451,M,N,N,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,1,Laborers,2,2,9
10452,F,N,N,0,202500,Pensioner,Secondary / secondary special,Widow,Municipal apartment,1,0,1,1,unemployed,1,2,9
10453,F,N,Y,0,247500,Commercial associate,Higher education,Widow,House / apartment,1,0,1,0,unemployed,1,2,9
10454,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,9
10455,F,N,N,0,202500,Working,Higher education,Civil marriage,House / apartment,1,1,1,0,Core staff,2,2,9
10456,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,2,2,8
10457,F,Y,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
10458,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,7
10459,M,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,2,2,9
10460,M,Y,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,0,9
10461,F,Y,N,0,81000,Commercial associate,Secondary / secondary special,Civil marriage,With parents,1,0,0,0,Laborers,2,2,6
10462,F,N,Y,0,67500,Commercial associate,Incomplete higher,Married,House / apartment,1,1,1,0,unemployed,2,0,5
10463,M,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2,2,8
10464,F,N,Y,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,4,2,9
10465,F,N,Y,0,382500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Secretaries,2,1,9
10466,M,Y,Y,2,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Laborers,4,0,9
10467,F,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,0,7
10468,F,Y,Y,1,315000,Working,Incomplete higher,Single / not married,House / apartment,1,0,0,0,Core staff,2,2,9
10469,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
10470,F,N,Y,1,67500,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Accountants,2,0,5
10471,M,Y,Y,1,225000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,1,9
10472,F,N,Y,0,315000,Working,Higher education,Married,House / apartment,1,1,1,0,Accountants,2,0,9
10473,F,N,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,unemployed,3,2,7
10474,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,3,2,9
10475,F,N,Y,0,81000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,unemployed,2,2,6
10476,F,N,Y,1,225000,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Managers,3,2,9
10477,F,N,N,0,270000,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,1,1,0,unemployed,1,2,9
10478,F,N,N,0,270000,State servant,Higher education,Married,House / apartment,1,0,1,0,Accountants,2,1,9
10479,F,Y,Y,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,7
10480,M,Y,Y,0,202500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,2,9
10481,F,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Accountants,2,2,9
10482,M,Y,Y,2,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,2,9
10483,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,8
10484,F,Y,Y,0,225000,Working,Higher education,Separated,Rented apartment,1,1,0,0,unemployed,1,1,9
10485,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,3,1,8
10486,F,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,1,8
10487,F,N,N,0,157500,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Sales staff,1,1,8
10488,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,1,0,unemployed,2,2,9
10489,M,Y,Y,0,261000,Working,Incomplete higher,Married,House / apartment,1,0,1,0,Managers,2,2,9
10490,F,N,N,0,144000,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,0,Sales staff,2,0,8
10491,F,Y,N,0,315000,Working,Higher education,Married,Co-op apartment,1,1,0,0,Medicine staff,2,0,9
10492,F,N,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,9
10493,M,N,N,0,180000,Working,Secondary / secondary special,Single / not married,With parents,1,1,1,1,unemployed,1,2,9
10494,M,Y,Y,0,180000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,2,9
10495,F,Y,N,1,387000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,2,9
10496,F,N,N,1,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Core staff,3,2,7
10497,F,N,Y,0,270000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,9
10498,M,N,Y,1,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,7
10499,M,Y,Y,0,472500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,9
10500,F,N,Y,0,153000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,8
10501,F,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,unemployed,2,2,7
10502,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,1,7
10503,M,N,N,0,190399.5,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Core staff,2,1,9
10504,F,Y,N,0,562500,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,2,2,9
10505,M,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,0,9
10506,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Private service staff,1,1,8
10507,F,N,N,0,180000,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Cooking staff,1,2,9
10508,F,N,N,0,85500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,unemployed,2,2,6
10509,M,N,N,0,202500,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Laborers,1,1,9
10510,F,N,N,0,90000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Medicine staff,2,2,7
10511,F,N,N,0,157500,State servant,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Medicine staff,1,2,8
10512,F,Y,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,7
10513,F,N,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,1,1,0,1,Core staff,2,2,8
10514,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,0,9
10515,F,N,N,0,112500,State servant,Secondary / secondary special,Married,With parents,1,0,0,0,Medicine staff,2,2,7
10516,M,N,Y,0,270000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Drivers,2,1,9
10517,F,N,Y,0,216000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,unemployed,1,2,9
10518,F,N,Y,2,94500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,1,7
10519,F,Y,Y,0,225000,State servant,Higher education,Married,House / apartment,1,0,0,0,Medicine staff,2,1,9
10520,F,Y,N,1,225000,Commercial associate,Higher education,Civil marriage,With parents,1,0,1,1,Accountants,3,1,9
10521,F,N,N,0,216000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
10522,F,N,Y,1,225000,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,2,2,9
10523,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,0,7
10524,F,N,Y,0,180000,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,unemployed,1,0,9
10525,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,9
10526,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,1,9
10527,F,N,Y,0,58500,State servant,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Core staff,1,2,5
10528,F,N,Y,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
10529,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,2,1,6
10530,M,Y,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,8
10531,F,N,Y,0,101250,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,unemployed,1,0,7
10532,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,0,8
10533,F,N,N,1,81000,Working,Secondary / secondary special,Married,With parents,1,1,1,0,Core staff,3,1,6
10534,F,N,N,0,63000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,unemployed,2,2,5
10535,F,N,N,0,450000,State servant,Higher education,Married,House / apartment,1,0,1,0,Managers,2,0,9
10536,M,N,Y,0,445500,Commercial associate,Higher education,Separated,House / apartment,1,0,0,0,unemployed,1,2,9
10537,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,unemployed,1,2,8
10538,F,N,Y,2,135000,Working,Higher education,Married,House / apartment,1,1,1,1,Laborers,4,2,8
10539,M,Y,Y,0,315000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
10540,M,N,Y,1,117000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Laborers,3,1,7
10541,F,N,Y,1,90000,Working,Higher education,Married,House / apartment,1,1,0,0,unemployed,3,2,7
10542,F,Y,Y,2,121500,Working,Incomplete higher,Married,House / apartment,1,1,1,0,Core staff,4,2,8
10543,M,Y,Y,0,315000,Working,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2,2,9
10544,F,N,N,0,247500,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,1,9
10545,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2,2,7
10546,F,N,Y,0,202500,Working,Higher education,Separated,House / apartment,1,0,0,0,unemployed,1,2,9
10547,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Medicine staff,2,2,9
10548,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,1,8
10549,M,Y,Y,1,148500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,8
10550,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,2,9
10551,F,N,Y,3,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,5,2,8
10552,F,N,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,9
10553,F,N,Y,0,202500,Pensioner,Lower secondary,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,9
10554,M,Y,N,0,148500,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,unemployed,2,1,8
10555,F,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,2,8
10556,F,N,Y,0,157500,Pensioner,Lower secondary,Married,House / apartment,1,0,0,0,unemployed,2,2,8
10557,F,Y,Y,0,450000,State servant,Higher education,Married,House / apartment,1,0,1,0,unemployed,2,2,9
10558,F,N,Y,0,117000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,0,7
10559,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,2,9
